Soil_Moisture,Temperature,Humidity,Rainfall,Irrigation
61,29,47,18,0
24,26,43,14,0
70,20,49,19,0
30,38,47,13,0
33,35,39,23,0
12,38,54,5,1
31,23,31,20,0
62,37,54,28,0
11,21,83,3,1
39,20,62,7,0
47,34,65,16,0
11,24,60,29,0
73,39,43,8,0
69,30,30,0,0
30,29,75,23,0
42,21,45,19,0
67,22,83,24,0
31,31,75,13,0
58,39,81,10,0
68,24,32,20,0
51,24,64,2,0
69,25,70,8,0
24,28,35,26,0
71,21,54,13,0
71,31,42,29,0
56,22,82,8,0
71,39,63,3,0
60,31,37,26,0
64,36,50,3,0
73,29,63,27,0
12,33,33,7,1
60,36,54,1,0
16,37,44,8,1
30,38,33,28,0
48,36,74,13,0
27,33,89,21,0
13,28,41,8,1
69,27,61,23,0
23,21,61,22,0
18,32,57,15,0
62,26,42,28,0
11,28,60,29,0
69,30,43,16,0
53,33,49,15,0
17,23,47,29,0
56,32,58,11,0
44,21,89,2,0
45,24,35,10,0
59,30,61,13,0
13,25,58,17,0
11,37,72,20,0
15,29,31,20,0
63,23,89,4,0
13,28,52,15,0
63,25,48,19,0
72,21,60,4,0
27,36,80,2,1
53,24,34,11,0
43,25,48,0,0
71,31,63,20,0
23,29,39,28,0
57,25,54,8,0
24,27,31,28,0
71,21,40,8,0
49,31,79,3,0
62,32,60,2,0
33,26,85,16,0
35,29,44,1,0
69,32,38,23,0
50,36,52,0,0
38,33,48,7,0
24,21,38,12,0
54,30,64,22,0
74,20,50,14,0
18,38,38,7,1
10,23,57,11,0
17,38,75,21,0
72,30,80,11,0
20,27,36,13,0
17,30,45,14,0
44,23,45,14,0
44,36,89,8,0
42,26,62,18,0
14,27,33,25,0
50,22,33,19,0
37,21,68,28,0
16,34,69,21,0
21,24,46,7,1
43,20,66,20,0
42,23,68,18,0
57,34,89,5,0
32,39,81,19,0
71,38,58,24,0
46,22,81,28,0
53,39,65,18,0
44,30,89,3,0
74,36,67,22,0
56,32,68,6,0
12,30,79,27,0
10,21,66,27,0
14,28,81,3,1
23,21,64,21,0
36,28,36,11,0
18,28,56,12,0
24,27,57,2,1
51,36,51,21,0
60,20,43,11,0
72,30,36,1,0
61,27,66,23,0
13,29,51,1,1
32,26,34,26,0
24,22,84,22,0
52,22,31,8,0
38,37,56,0,0
45,24,50,7,0
22,31,83,22,0
41,31,67,5,0
68,38,44,5,0
37,25,50,21,0
75,21,39,24,0
51,31,52,17,0
54,38,87,16,0
71,24,85,28,0
66,31,68,11,0
15,36,34,5,1
37,36,30,25,0
37,29,42,26,0
53,36,50,7,0
39,34,55,18,0
71,31,79,27,0
71,35,74,9,0
10,38,50,0,1
36,27,82,24,0
71,36,47,28,0
12,24,66,12,0
79,35,74,16,0
36,25,61,2,0
18,27,65,7,1
71,37,46,13,0
46,31,64,2,0
60,34,78,15,0
53,28,89,12,0
33,32,40,19,0
68,34,50,23,0
41,29,81,16,0
61,35,84,12,0
71,26,82,28,0
67,36,55,5,0
61,26,33,16,0
21,33,63,13,0
48,34,81,16,0
11,26,77,29,0
12,28,89,7,1
65,38,47,10,0
68,35,69,19,0
11,27,64,27,0
11,37,70,0,1
63,37,58,25,0
10,39,81,6,1
28,26,58,20,0
11,22,67,20,0
62,37,71,16,0
53,29,50,29,0
41,26,71,9,0
79,36,42,10,0
41,33,78,21,0
77,22,70,29,0
64,31,46,8,0
65,32,85,8,0
26,21,38,23,0
47,22,70,4,0
33,24,30,16,0
78,30,31,8,0
79,27,89,16,0
20,31,77,23,0
25,26,58,20,0
68,34,62,18,0
79,36,39,26,0
12,23,79,6,1
29,32,87,22,0
68,37,89,8,0
45,20,69,6,0
28,35,50,12,0
76,32,57,10,0
28,29,40,13,0
29,31,84,18,0
61,21,63,10,0
42,22,37,12,0
49,29,88,13,0
48,21,51,12,0
10,32,37,0,1
20,32,78,7,1
66,37,44,11,0
59,22,46,18,0
32,26,89,11,0
40,33,52,7,0
51,39,53,7,0
16,36,74,28,0
25,31,48,20,0
69,35,34,12,0
11,31,61,11,0
10,34,73,28,0
57,29,30,15,0
21,26,52,0,1
78,39,66,12,0
46,24,37,25,0
41,20,42,6,0
18,36,37,27,0
28,22,86,25,0
57,32,52,4,0
12,33,72,7,1
29,37,30,24,0
33,23,74,26,0
63,37,80,13,0
42,24,53,22,0
33,35,64,29,0
45,20,53,12,0
47,33,46,14,0
34,34,34,22,0
27,28,49,16,0
75,34,50,14,0
63,36,69,19,0
44,23,87,17,0
70,31,60,17,0
50,24,75,1,0
42,24,65,3,0
77,30,40,29,0
42,25,81,0,0
23,26,44,3,1
30,33,48,17,0
57,30,36,4,0
29,32,80,18,0
17,21,57,14,0
16,26,80,27,0
76,39,72,7,0
26,23,87,19,0
42,27,34,16,0
57,39,34,0,0
68,38,59,11,0
31,32,83,25,0
39,33,61,18,0
47,29,37,14,0
60,30,39,8,0
63,21,67,6,0
17,28,76,1,1
36,36,61,28,0
36,22,77,8,0
30,25,57,9,1
39,24,46,1,0
37,24,60,18,0
73,34,37,10,0
78,36,69,12,0
70,28,54,9,0
57,22,38,13,0
28,39,31,17,0
13,36,44,18,0
44,29,79,21,0
73,22,32,8,0
58,37,78,24,0
26,37,65,6,1
53,36,33,27,0
39,22,43,2,0
55,22,70,19,0
15,25,70,5,1
46,32,54,26,0
33,34,87,20,0
55,28,84,1,0
62,23,79,28,0
69,33,39,5,0
72,24,50,2,0
41,21,65,15,0
42,30,41,29,0
76,28,56,7,0
27,22,69,1,1
34,28,31,16,0
63,22,83,8,0
67,21,42,29,0
76,31,82,11,0
55,29,61,2,0
33,28,60,10,0
41,34,45,0,0
56,27,61,22,0
32,24,61,12,0
75,30,89,14,0
36,21,63,25,0
11,34,40,4,1
26,25,39,20,0
42,27,44,29,0
18,24,46,16,0
52,35,69,24,0
57,37,47,22,0
48,25,84,23,0
51,24,38,24,0
35,35,54,5,0
59,32,69,27,0
34,24,88,20,0
33,32,43,21,0
22,36,89,10,0
69,37,87,17,0
16,27,54,3,1
66,32,79,2,0
45,38,51,12,0
54,22,81,22,0
29,27,59,8,1
74,21,49,20,0
17,27,50,5,1
25,32,73,25,0
23,32,61,29,0
24,20,80,27,0
75,25,75,11,0
41,38,78,1,0
72,35,85,2,0
60,27,50,2,0
34,20,64,27,0
67,35,87,11,0
72,28,61,14,0
71,32,59,8,0
31,30,84,22,0
67,32,68,7,0
67,29,78,10,0
58,23,41,15,0
61,25,70,25,0
51,26,76,26,0
79,24,47,24,0
24,30,50,21,0
63,32,42,3,0
69,38,50,27,0
17,29,37,0,1
62,29,75,23,0
69,30,69,6,0
14,26,75,1,1
77,37,36,23,0
15,23,52,27,0
56,21,73,4,0
64,33,61,6,0
49,32,40,3,0
61,31,51,4,0
25,26,51,23,0
22,21,72,0,1
39,32,54,0,0
28,33,51,14,0
26,36,57,19,0
72,28,58,18,0
28,36,42,28,0
67,27,47,9,0
64,21,31,27,0
71,32,58,17,0
32,22,50,27,0
18,35,44,2,1
21,25,81,10,0
10,38,56,14,0
67,26,79,26,0
10,29,60,29,0
43,28,44,10,0
57,21,80,16,0
10,34,52,16,0
25,24,53,5,1
70,23,73,4,0
73,39,42,7,0
72,23,51,1,0
78,37,72,15,0
31,23,66,19,0
76,36,62,23,0
35,31,85,11,0
25,36,32,5,1
60,29,83,0,0
66,20,48,3,0
38,37,52,16,0
78,37,58,12,0
56,33,59,17,0
71,34,68,4,0
78,31,73,29,0
25,23,76,23,0
57,22,54,23,0
48,39,66,26,0
42,31,76,2,0
32,26,37,10,0
19,30,71,12,0
78,20,87,3,0
43,25,45,25,0
61,34,37,26,0
19,34,30,13,0
28,38,73,21,0
67,30,34,10,0
10,21,32,26,0
78,33,30,9,0
13,21,33,18,0
25,23,69,17,0
33,36,64,5,1
11,22,61,26,0
41,32,71,28,0
33,28,63,14,0
21,26,72,20,0
59,34,54,29,0
44,30,39,9,0
42,39,50,4,0
42,21,75,25,0
70,34,68,28,0
60,33,56,4,0
52,39,56,9,0
21,30,31,27,0
76,22,70,4,0
74,36,77,2,0
42,31,42,22,0
49,34,38,5,0
52,35,81,3,0
53,24,65,17,0
38,39,51,27,0
22,25,71,8,1
21,38,55,16,0
55,24,87,28,0
11,22,83,12,0
44,20,41,26,0
17,25,46,14,0
35,34,43,29,0
43,21,43,19,0
16,22,86,16,0
77,36,63,12,0
67,31,82,15,0
38,37,86,21,0
45,34,49,3,0
30,31,40,4,1
45,35,45,4,0
19,27,80,8,1
33,33,60,16,0
73,36,84,12,0
58,27,35,1,0
45,34,85,12,0
33,33,48,21,0
32,37,66,20,0
71,39,87,26,0
46,26,33,22,0
21,22,76,18,0
64,31,33,2,0
22,22,49,9,1
32,39,39,1,1
39,33,53,12,0
26,34,83,18,0
71,33,64,25,0
22,26,55,16,0
68,36,66,20,0
28,31,67,13,0
58,39,50,11,0
21,23,83,20,0
70,28,69,11,0
28,25,68,10,0
18,35,50,6,1
37,21,39,3,0
61,27,67,18,0
25,30,75,0,1
78,32,33,27,0
21,36,89,23,0
34,27,86,28,0
61,37,74,2,0
62,37,49,12,0
32,33,46,14,0
25,34,84,1,1
66,25,36,10,0
48,30,33,3,0
62,32,58,18,0
51,20,43,28,0
67,25,32,16,0
48,28,53,2,0
23,27,66,27,0
14,30,45,17,0
44,38,87,7,0
27,28,84,21,0
18,36,81,24,0
67,31,33,23,0
26,33,85,25,0
16,34,53,18,0
55,35,63,4,0
22,39,59,6,1
49,20,47,20,0
51,29,48,7,0
18,27,60,27,0
59,37,89,4,0
36,20,89,16,0
75,21,48,4,0
14,20,78,3,1
38,20,75,21,0
46,28,48,18,0
47,32,51,26,0
17,20,53,20,0
74,32,74,1,0
26,39,41,10,0
54,26,59,21,0
13,21,87,12,0
45,25,67,14,0
79,26,82,11,0
40,33,60,21,0
28,37,65,20,0
70,34,48,21,0
63,21,77,10,0
48,29,74,6,0
28,31,65,27,0
48,36,59,4,0
76,27,84,16,0
54,30,78,23,0
22,22,84,19,0
67,25,62,8,0
29,28,47,13,0
70,25,81,25,0
48,28,78,11,0
10,26,88,5,1
12,28,57,16,0
71,37,88,18,0
72,31,76,18,0
34,27,40,25,0
65,27,86,15,0
42,37,89,11,0
47,39,83,11,0
15,34,74,19,0
67,26,62,5,0
53,30,46,22,0
54,39,35,25,0
41,35,33,3,0
54,23,49,5,0
70,25,77,10,0
56,22,76,0,0
30,28,56,29,0
45,29,44,23,0
28,33,35,22,0
29,30,76,14,0
66,37,43,26,0
27,31,89,10,0
56,31,40,24,0
58,32,68,18,0
23,32,38,17,0
24,38,55,16,0
40,38,45,18,0
10,33,34,20,0
63,23,86,13,0
12,32,81,26,0
25,27,39,17,0
66,38,79,27,0
21,31,32,18,0
25,37,42,14,0
33,25,72,14,0
37,37,78,3,0
17,38,59,6,1
45,24,83,12,0
17,28,74,2,1
67,22,35,15,0
69,29,46,8,0
59,38,88,7,0
37,22,74,19,0
50,34,80,12,0
73,20,82,16,0
36,26,48,16,0
72,31,71,16,0
26,36,64,0,1
42,39,75,7,0
38,24,55,18,0
22,23,80,5,1
55,31,34,2,0
44,39,58,26,0
15,37,66,4,1
78,36,49,12,0
56,38,78,14,0
34,28,50,13,0
75,23,39,28,0
19,21,34,22,0
65,23,65,15,0
39,21,35,17,0
14,34,55,21,0
42,21,33,28,0
74,23,68,21,0
27,25,68,10,0
58,26,79,2,0
20,29,64,21,0
35,38,30,9,0
72,38,53,9,0
68,31,86,29,0
36,22,65,20,0
58,32,35,15,0
42,37,70,11,0
10,27,83,1,1
30,34,75,8,1
64,20,89,23,0
15,22,73,2,1
78,27,89,23,0
14,23,86,29,0
12,35,60,24,0
62,29,49,29,0
32,31,53,14,0
62,33,54,2,0
46,33,65,18,0
26,21,50,17,0
10,24,59,7,1
60,24,53,25,0
54,25,73,16,0
13,32,71,7,1
71,28,59,6,0
74,34,51,29,0
41,33,57,6,0
43,26,36,2,0
48,39,64,0,0
35,21,84,3,0
43,26,57,24,0
63,25,43,4,0
12,36,85,0,1
59,21,39,14,0
21,22,45,4,1
74,24,45,12,0
63,24,83,7,0
14,20,60,7,1
66,27,71,4,0
26,31,54,27,0
56,23,42,8,0
32,32,35,0,1
23,34,73,3,1
75,30,38,2,0
60,29,74,1,0
47,22,65,7,0
73,33,85,22,0
47,35,72,8,0
59,29,49,1,0
39,29,47,13,0
60,31,87,13,0
72,28,72,3,0
61,20,86,29,0
47,24,50,5,0
39,39,33,10,0
60,27,79,2,0
14,30,62,7,1
38,31,56,2,0
13,20,36,13,0
19,39,35,27,0
65,30,44,12,0
26,24,47,12,0
26,34,61,1,1
78,24,85,12,0
43,31,40,28,0
15,24,49,18,0
62,36,53,26,0
75,36,44,5,0
52,31,77,15,0
32,34,36,1,1
64,34,50,7,0
25,25,71,16,0
17,31,55,22,0
13,39,73,1,1
13,37,85,9,1
65,33,43,27,0
34,21,86,15,0
76,28,66,5,0
76,24,87,27,0
36,39,50,1,0
41,20,47,1,0
59,22,34,25,0
70,25,32,12,0
60,24,52,23,0
28,24,55,14,0
30,20,66,27,0
14,36,53,1,1
51,38,78,6,0
70,33,48,2,0
31,31,80,7,1
30,29,54,22,0
79,39,50,13,0
10,37,41,23,0
14,30,86,29,0
21,21,70,22,0
55,37,62,26,0
43,26,79,21,0
58,34,82,28,0
54,30,33,6,0
36,37,71,20,0
35,31,86,6,0
56,25,36,0,0
65,39,51,16,0
72,32,84,8,0
57,39,62,29,0
70,35,46,20,0
35,37,53,12,0
45,29,63,20,0
10,27,57,18,0
17,37,87,20,0
61,20,72,18,0
56,27,70,24,0
65,25,68,24,0
23,24,51,21,0
37,34,78,16,0
11,34,46,22,0
35,21,63,22,0
23,20,35,29,0
68,30,75,9,0
65,29,35,9,0
16,37,63,3,1
12,37,30,7,1
32,36,39,21,0
27,27,50,19,0
47,34,34,19,0
24,27,31,17,0
73,36,51,13,0
37,31,77,17,0
48,27,86,27,0
66,33,31,13,0
26,23,39,19,0
53,20,63,20,0
34,20,45,23,0
26,38,77,14,0
22,35,80,21,0
34,33,68,29,0
77,35,51,3,0
19,24,41,12,0
76,28,53,26,0
27,21,76,22,0
43,37,69,7,0
17,25,67,17,0
49,28,89,11,0
51,20,88,22,0
50,28,39,13,0
15,35,64,1,1
61,32,80,17,0
35,28,78,23,0
73,32,61,1,0
68,28,36,10,0
65,30,50,8,0
68,23,49,11,0
79,21,55,16,0
42,25,33,14,0
62,33,75,24,0
31,23,81,16,0
30,25,51,25,0
79,38,44,28,0
79,25,85,25,0
13,21,69,17,0
71,37,50,21,0
71,32,44,5,0
33,28,51,16,0
64,38,81,22,0
18,32,57,23,0
12,30,43,17,0
40,20,56,7,0
49,26,70,8,0
45,34,69,5,0
33,20,87,4,1
15,31,57,11,0
75,26,55,24,0
13,34,78,28,0
15,38,31,27,0
60,20,54,10,0
71,36,85,24,0
66,36,32,0,0
75,22,37,10,0
17,31,73,18,0
35,25,62,8,0
60,30,71,26,0
54,22,81,1,0
53,27,64,11,0
14,33,35,3,1
79,33,68,3,0
35,29,81,17,0
77,21,52,14,0
28,33,54,18,0
29,28,88,12,0
21,22,79,18,0
56,27,72,16,0
10,35,48,5,1
23,21,34,15,0
73,25,80,23,0
47,31,40,11,0
46,24,85,18,0
20,21,41,4,1
12,35,39,16,0
42,24,37,25,0
15,34,53,22,0
59,31,89,25,0
19,23,57,28,0
14,34,70,0,1
32,30,65,27,0
19,35,66,26,0
53,25,50,24,0
11,33,37,23,0
22,37,84,22,0
49,31,38,9,0
11,30,76,14,0
74,32,44,22,0
72,30,77,20,0
26,35,75,20,0
18,34,69,10,0
24,34,47,12,0
33,23,71,4,1
47,30,89,0,0
44,38,49,23,0
58,34,35,11,0
78,23,41,10,0
71,32,31,16,0
69,38,36,3,0
59,21,45,14,0
18,33,32,24,0
43,23,74,29,0
44,35,32,8,0
10,39,56,20,0
49,33,79,19,0
73,34,72,18,0
31,22,69,18,0
69,27,67,11,0
73,35,62,4,0
20,29,57,9,1
23,23,30,16,0
69,37,84,4,0
39,21,37,21,0
44,36,66,15,0
46,32,61,6,0
14,23,89,27,0
35,30,77,8,0
71,26,72,2,0
13,31,66,14,0
51,29,33,15,0
27,26,59,17,0
49,32,35,13,0
48,26,75,2,0
23,36,83,11,0
41,29,48,8,0
60,29,61,27,0
47,23,38,6,0
32,39,41,8,1
72,23,40,12,0
24,26,75,17,0
34,20,84,4,1
26,31,45,12,0
75,32,30,3,0
62,29,74,1,0
60,34,84,15,0
48,32,82,8,0
60,28,50,8,0
79,28,59,5,0
15,34,42,10,0
76,29,63,21,0
16,29,33,23,0
60,27,57,21,0
51,35,67,0,0
73,36,87,3,0
24,24,60,12,0
38,23,88,22,0
42,37,84,12,0
36,38,56,12,0
45,23,34,1,0
38,26,54,8,0
47,29,32,23,0
66,37,62,7,0
36,38,33,6,0
64,23,54,3,0
42,29,49,17,0
77,20,63,2,0
75,37,55,27,0
19,24,34,5,1
14,34,64,11,0
47,36,57,11,0
22,22,58,20,0
40,31,38,27,0
56,21,81,7,0
61,20,67,21,0
65,36,79,21,0
24,35,35,0,1
38,24,48,3,0
17,34,89,20,0
14,22,73,27,0
38,26,86,10,0
56,30,40,2,0
77,29,31,12,0
54,28,76,24,0
11,33,73,16,0
36,32,73,21,0
45,21,38,21,0
45,22,50,9,0
35,26,53,20,0
52,37,63,11,0
36,22,51,14,0
78,29,32,20,0
29,26,41,9,1
20,28,57,13,0
47,36,59,12,0
15,30,55,4,1
32,26,77,5,1
56,33,50,23,0
55,38,57,1,0
21,23,85,21,0
22,25,55,16,0
71,29,62,3,0
69,26,50,13,0
52,32,64,9,0
77,33,81,2,0
14,23,63,24,0
46,27,70,2,0
40,24,80,14,0
18,20,76,5,1
60,23,47,16,0
38,22,87,11,0
49,28,40,21,0
50,27,86,19,0
20,20,52,23,0
32,25,77,28,0
10,28,51,10,0
55,26,46,24,0
30,23,34,3,1
45,32,73,25,0
63,36,40,27,0
66,21,59,25,0
10,24,44,5,1
72,31,56,0,0
63,27,64,19,0
64,25,62,22,0
49,27,49,27,0
24,37,45,15,0
30,22,63,14,0
56,31,31,16,0
62,22,64,7,0
18,25,69,27,0
61,21,85,25,0
66,31,57,11,0
35,21,76,26,0
50,25,68,21,0
44,36,35,20,0
72,22,38,9,0
34,21,49,26,0
47,39,89,14,0
11,27,30,29,0
16,31,37,8,1
43,23,84,1,0
26,24,52,4,1
52,32,32,5,0
68,34,33,6,0
60,35,87,20,0
63,29,54,24,0
33,35,76,0,1
34,31,67,22,0
61,36,44,25,0
79,35,50,6,0
42,31,64,19,0
58,27,86,24,0
38,39,82,29,0
72,22,82,11,0
31,35,75,15,0
35,32,81,15,0
37,38,43,10,0
58,27,65,20,0
58,24,41,3,0
29,39,46,12,0
72,27,68,6,0
70,31,38,3,0
58,20,64,14,0
10,39,89,18,0
22,25,42,8,1
60,37,44,10,0
65,27,47,7,0
71,26,80,0,0
41,20,62,22,0
39,35,35,24,0
38,31,88,23,0
58,25,56,7,0
54,39,52,12,0
39,21,88,21,0
25,33,56,26,0
49,23,63,3,0
28,20,85,7,1
27,37,75,2,1
10,32,67,28,0
56,21,43,8,0
75,28,65,28,0
47,21,82,1,0
60,28,37,1,0
72,20,64,27,0
13,30,48,12,0
10,22,59,14,0
17,39,43,27,0
38,23,88,22,0
64,37,49,11,0
12,25,78,25,0
41,22,54,3,0
19,30,69,25,0
43,34,53,7,0
64,24,43,8,0
41,39,55,22,0
59,29,67,4,0
16,31,52,23,0
17,34,51,19,0
74,36,77,17,0
66,29,86,10,0
76,25,48,14,0
68,37,75,27,0
63,32,80,21,0
76,22,32,8,0
60,29,71,16,0
17,33,48,26,0
43,25,38,25,0
44,22,57,11,0
41,35,49,6,0
55,26,74,9,0
25,39,36,24,0
77,33,43,25,0
46,28,38,24,0
63,34,88,9,0
23,22,89,26,0
64,21,84,12,0
57,21,86,18,0
16,22,89,10,0
